name,provincia,alt,desnivel,dist,pendiente,coef,la_ini,lo_ini,la_fin,lo_fin
" Abejas, Puerto de las por Río Grande (Este)",Málaga,822 m ,629 m ,"14,83 Km ","4,2 % ",97  , 36.699231 , -4.875319 , 36.746288 , -4.927976 
 Abionzo por por Llerana,Cantabria,419 m ,218 m ,"2,4 Km ","9,07 % ",75  , 43.261466 , -3.808744 , 43.244962 , -3.813329 
 Abionzo por por Villacarriedo,Cantabria,419 m ,219 m ,"3,9 Km ","5,61 % ",37  , 43.230424 , -3.805954 , 43.244962 , -3.813329 
" Acebeas, Alto de Las por Norte",Jaén,1345 m ,591 m ,15 Km ,"3,9 % ",123  , 38.38298 , -2.589743 , 38.31268 , -2.581494 
" Acebo, El por Compludo",León,1114 m ,293 m ,"3,25 Km ",9 % ,85  , 42.483792 , -6.454103 , 42.498966 , -6.457236 
" Acebo, El-Foncebadón por Compludo",León,1486 m ,665 m ,"8,25 Km ","8,06 % ",184  , 42.483792 , -6.454103 , 42.488588 , -6.361720 
" Acebo, Puerto del por Presa de Salime",Asturias,1036 m ,816 m ,19 Km ,"4,26 % ",149  , 43.237262 , -6.848087 , 43.148593 , -6.965246 
" Acebo, Santuario de por Cangas del Narcea",Asturias,1170 m ,777 m ,10 Km ,"7,7 % ",181  , 43.177705 , -6.549225 , 43.158471 , -6.499014 
 Adarra-Besabi por Xoxoka,Gipuzkoa,315 m ,198 m ,"3,7 Km ","5,5 % ",33  , 43.201434 , -3.044994 , 43.194946 , -3.030413 
 Adrau (collao espina) por Pontigón,Asturias,687 m ,617 m ,"6,54 Km ","9,4 % ",204  , 43.465005 , -6.424255 , 43.440768 , -6.452193 
" Adsubia, Alto de (Les Capçades) por Jávea",Alicante,174 m ,164 m ,"2,5 Km ","6,56 % ",33  , 38.769242 , 0.171618 , 38.761245 , 0.15883 
" Áger, Port d' por Balaguer",Lleida,912 m ,694 m ,"26,92 Km ","2,6 % ",120  , 41.794357 , 0.806741 , 41.978612 , 0.750797 
 Agiña por Lesaka,Navarra,545 m ,475 m ,8 Km ,"5,94 % ",89  , 43.247597 , -1.71577 , 43.264997 , -1.759622 
 Agiña por Embalse de San Antón de Domiko,Navarra,545 m ,300 m ,"4,8 Km ","6,25 % ",57  , 43.277246 , -1.773355 , 43.264997 , -1.759622 
 Agiñiga por Izoria,Álava,415 m ,145 m ,"4,15 Km ","3,5 % ",31  , 43.050482 , -3.049489 , 43.034666 , -3.071119 
 Agres por Ontinyent,Alicante,668 m ,328 m ,"14,6 Km ","2,25 % ",49  , 38.821053 , -0.611715 , 38.780551 , -0.528889 
 Agres por Muro d'Alcoi,Alicante,668 m ,318 m ,"11,4 Km ","2,79 % ",43  , 38.782123 , -0.413232 , 38.780551 , -0.528889 
 Agres (pueblo) por Muro d'Alcoi,Alicante,715 m ,365 m ,10 Km ,"3,65 % ",47  , 38.782123 , -0.413232 , 38.78035 , -0.516872 
 Agres (pueblo) por Ontinyent,Alicante,715 m ,375 m ,"16,2 Km ","2,31 % ",51  , 38.821053 , -0.611715 , 38.78035 , -0.516872 
 Aguavientos por Villar Arzobispo (CV-35),Valencia,1044 m ,667 m ,18 Km ,"3,71 % ",107  , 39.698734 , -0.844231 , 39.805107 , -0.887833 
 Aguavientos por Alcotas,Valencia,1044 m ,164 m ,"6,8 Km ","2,41 % ",27  , 39.821227 , -0.9168 , 39.805107 , -0.887833 
" Aguilones, Puerto de por Norte (Garganta de Navalacruz)",Ávila,1245 m ,213 m ,"4,3 Km ","4,95 % ",37  , 40.431997 , -4.864719 , 40.415989 , -4.843304 
" Aguilones, Puerto de por Sur (Barrio del Morisco)",Ávila,1245 m ,387 m ,"5,8 Km ","6,67 % ",93  , 40.395934 , -4.835372 , 40.415989 , -4.843304 
" Aguión, El por Puente Aranguin",Asturias,920 m ,786 m ,14 Km ,"5,61 % ",178  , 43.469553 , -6.218390 , 43.462794 , -6.302032 
 Ahedo de Butrón por Ahedo de Butrón,Burgos,0 m ,0 m ,0 Km ,0 % ,0  , 42.838276 , -3.686943 , 42.807114 , -3.64583 
 Aia por Andatza,Gipuzkoa,322 m ,311 m ,"9,8 Km ","3,17 % ",56  , 43.273581 , -2.124953 , 43.236676 , -2.148984 
 Aigualit por Vall d'Uixó,Castellón,321 m ,181 m ,"2,1 Km ","8,7 % ",50  , 39.827753 , -0.235734 , 39.838398 , -0.243931 
 Aigües Tortes por L-500,Lleida,1816 m ,480 m ,"7,86 Km ","6,13 % ",88  , 42.542675 , 0.838667 , 42.551714 , 0.912602 
 Aigües Vives por Vilavella,Castellón,223 m ,163 m ,"3,8 Km ","4,3 % ",22  , 39.872462 , -0.1899 , 39.891069 , -0.2214 
 Aigües Vives por Rotonda CV-10,Castellón,223 m ,133 m ,"4,6 Km ","2,89 % ",22  , 39.894691 , -0.198441 , 39.891069 , -0.2214 
 Aín por Artana,Castellón,589 m ,499 m ,"17,2 Km ","2,9 % ",72  , 39.894658 , -0.198784 , 39.905391 , -0.350018 
 Aín por Tales,Castellón,589 m ,349 m ,"10,2 Km ","3,4 % ",53  , 39.946299 , -0.31002 , 39.905391 , -0.350018 
 Aintzioa por Erro,Navarra,958 m ,285 m ,"4,6 Km ","6,1 % ",52  , 42.940945 , -1.446645 , 42.919574 , -1.424278 
 Aira Padrón por Ponte do Louzará,Lugo,1132 m ,452 m ,6 Km ,"7,53 % ",104  , 42.675472 , -7.24592 , 42.696766 , -7.276433 
 Aira Padrón por Samos,Lugo,1132 m ,572 m ,"8,9 Km ","6,42 % ",135  , 42.732271 , -7.324884 , 42.696761 , -7.276493 
" Aire, Puerto del por Puente de los Arenales (Sur)",Córdoba,779 m ,479 m ,"15,92 Km ",3 % ,85  , 37.970263 , -4.867594 , 38.049588 , -4.941666 
" Aire, Puerto del por El Burgo",Málaga,930 m ,374 m ,"9,97 Km ","3,8 % ",57  , 36.788549 , -4.94931 , 36.841586 , -4.959347 
" Aire, Puerto del por Serrato",Málaga,930 m ,439 m ,"8,46 Km ","5,2 % ",97  , 36.888933 , -4.981363 , 36.841586 , -4.959347 
 Aitana por Sella,Alicante,1549 m ,1281 m ,"22,4 Km ","5,72 % ",246  , 38.580178 , -0.266762 , 38.649456 , -0.263758 
 Aitana por Gorga-Benasau,Alicante,1549 m ,1059 m ,"19,9 Km ","5,32 % ",241  , 38.710027 , -0.365467 , 38.64902 , -0.265861 
 Aitana por Gorga-Benasau-Cº rural,Alicante,1549 m ,1059 m ,"19,3 Km ","5,49 % ",245  , 38.710462 , -0.365295 , 38.64902 , -0.265861 
 Aitana por Alcoleja-cº rural,Alicante,1549 m ,1044 m ,"19,2 Km ","5,44 % ",224  , 38.699913 , -0.39259 , 38.648819 , -0.26526 
 Aitana por Relleu,Alicante,1549 m ,1099 m ,21 Km ,"5,23 % ",226  , 38.589403 , -0.306458 , 38.648819 , -0.26526 
 Aitana por Benilloba,Alicante,1549 m ,1044 m ,20 Km ,"5,22 % ",220  , 38.699913 , -0.39259 , 38.648819 , -0.26526 
 Aitana por Penáguila (río),Alicante,1549 m ,994 m ,"16,2 Km ","6,14 % ",210  , 38.686213 , -0.36757 , 38.648819 , -0.26526 
 Aizan por Leitza-Usategieta,Navarra,920 m ,448 m ,"7,5 Km ","5,96 % ",97  , 43.08011 , -1.915419 , 43.099481 , -1.904123 
 Aizarna por Aizarnazabal,Gipuzkoa,236 m ,194 m ,"3,1 Km ","6,3 % ",37  , 43.255154 , -2.258027 , 43.234748 , -2.225295 
 Ajamil de Cameros por LR-250,La Rioja,1042 m ,208 m ,"6,1 Km ","3,41 % ",39  , 42.221049 , -2.479992 , 42.167475 , -2.487674 
 Ajo por Arnuero,Cantabria,188 m ,147 m ,"2,6 Km ","5,65 % ",25  , 43.474305 , -3.598205 , 43.472241 , -3.63322 
 Ajo por Güemes-San Roque,Cantabria,188 m ,116 m ,"3,2 Km ","3,65 % ",24  , 43.459045 , -3.628428 , 43.472241 , -3.63322 
 Ajo por Galizano,Cantabria,188 m ,148 m ,3 Km ,"4,93 % ",25  , 43.467953 , -3.662893 , 43.472241 , -3.63322 
 Akorda por Ibarrangelu,Bizkaia,214 m ,128 m ,"2,4 Km ","5,9 % ",20  , 43.391433 , -2.639481 , 43.395413 , -2.654003 
" Alájar, Puerto de por por Sur",Huelva,842 m ,265 m ,"3,7 Km ","7,1 % ",56  , 37.87527 , -6.660812 , 37.886313 , -6.661234 
" Alájar, Puerto de por por Linares de la Sierra",Huelva,837 m ,331 m ,"7,14 Km ","4,6 % ",82  , 37.880012 , -6.621194 , 37.886313 , -6.661234 
" Alamillos, Los por Grazalema (Río Guadalete)",Cádiz,828 m ,86 m ,"1,79 Km ","4,78 % ",12  ,  ,  ,  ,  
" Albaida, Pto. de por Albaida",Valencia,606 m ,326 m ,"8,4 Km ","3,88 % ",43  , 38.844755 , -0.519061 , 38.807343 , -0.462542 
" Albaida, Pto. de por Muro de Alcoy-antigua N340",Alicante,606 m ,263 m ,"7,6 Km ","3,46 % ",41  , 38.782123 , -0.41276 , 38.807343 , -0.462542 
 Albánchez por Río Cuadros,Jaén,1161 m ,680 m ,"12,3 Km ","5,5 % ",130  , 37.826779 , -3.435724 , 37.786294 , -3.483188 
 Albarizas (Font de la Figuera) por Font de la Figuera,Valencia,651 m ,161 m ,6 Km ,"2,68 % ",22  , 38.812459 , -0.885816 , 38.767737 , -0.894699 
 Albergue de Ancares por Os Cabaniños,Lugo,1355 m ,395 m ,"6,95 Km ","5,68 % ",96  , 42.836596 , -6.902089 , 42.819113 , -6.92154 
" Albergue de Llano Alto por Béjar, El Castañar",Salamanca,1156 m ,219 m ,"3,5 Km ","6,25 % ",39  , 40.383908 , -5.763719 , 40.375462 , -5.763447 
" Albuñuelas, Las por Saleres",Granada,873 m ,360 m ,"9,85 Km ","3,65 % ",98  , 36.931448 , -3.580041 , 36.956247 , -3.601584 
 Alcalá de la Jovada por Vall d'Ebo,Alicante,654 m ,277 m ,"10,7 Km ","2,59 % ",52  , 38.806841 , -0.163422 , 38.794032 , -0.265346 
 Alcalá de la Jovada por Margarida,Alicante,654 m ,91 m ,"2,3 Km ","3,96 % ",16  , 38.786305 , -0.288563 , 38.794032 , -0.265346 
 Alcázar de Toledo por Rotonda N-400,Toledo,537 m ,77 m ,"1,39 Km ","5,5 % ",12  , 39.863382 , -4.020365 , 39.858638 , -4.021084 
 Alcázar de Toledo por Puerta Bisagra,Toledo,537 m ,77 m ,"1,29 Km ","5,92 % ",10  , 39.862591 , -4.025386 , 39.858638 , -4.021084 
" Alcobilla, Santuario de Nra. Sra. de la por Rábano de Sanabria",Zamora,1127 m ,72 m ,"1,15 Km ","6,31 % ",13  , 42.144033 , -6.612228 , 42.141302 , -6.619668 
" Alcobilla, Santuario de Nra. Sra. de la por Villarino-San Justo",Zamora,1127 m ,196 m ,"6,1 Km ","3,21 % ",32  , 42.100028 , -6.64004 , 42.141302 , -6.619668 
 Alcomba por Casas de Relumbrero,Cantabria,540 m ,415 m ,"7,7 Km ","6,1 % ",75  , 43.276496 , -3.520653 , 43.290336 , -3.477180 
 Alcor por Amusco,Palencia,866 m ,95 m ,"1,97 Km ","4,82 % ",17  , 42.171435 , -4.465814 , 42.167475 , -4.428306 
 Alcotas por El Toro,Teruel,1200 m ,180 m ,"5,9 Km ","3,05 % ",35  , 39.997671 , -0.7587 , 40.027056 , -0.795608 
" Alcubierre, Alto de por Leciñena",Zaragoza,623 m ,195 m ,"5,6 Km ","3,46 % ",31  , 41.812107 , -0.581629 , 41.824964 , -0.517945 
 Alcublas por Llíria,Valencia,752 m ,512 m ,"13,2 Km ","3,9 % ",89  , 39.690611 , -0.642915 , 39.775825 , -0.700164 
 Alcublas por Casinos,Valencia,752 m ,432 m ,"10,9 Km ",4 % ,71  , 39.710521 , -0.705357 , 39.775825 , -0.700164 
 Aldana por Amorebieta,Bizkaia,294 m ,222 m ,"6,2 Km ","3,58 % ",49  , 43.224778 , -2.733396 , 43.265831 , -2.749393 
" Aldea, La - Bernedo por Cabredo",Navarra,987 m ,327 m ,"8,9 Km ","3,67 % ",44  , 42.629578 , -2.412475 , 42.605505 , -2.46936 
" Aldea, La - Bernedo por Elvillar - Cripán",Navarra,1000 m ,610 m ,18 Km ,"3,39 % ",91  , 42.516682 , -2.520654 , 42.610338 , -2.474971 
" Aldea, La - Bernedo por Barriobusto",Navarra,986 m ,396 m ,9 Km ,"4,4 % ",57  , 42.567494 , -2.431401 , 42.605505 , -2.46936 
" Aldea, La - Bernedo por Bernedo",Álava,1000 m ,276 m ,"4,2 Km ","6,57 % ",52  , 42.628481 , -2.49351 , 42.610338 , -2.474971 
 Aldeadávila por Presa,Salamanca,722 m ,507 m ,"8,5 Km ",6 % ,101  , 41.198526 , -6.688364 , 41.210537 , -6.6206 
 Aldeadávila por Playa Rostro,Salamanca,679 m ,375 m ,6 Km ,6 % ,97  , 41.244515 , -6.596754 , 41.21751 , -6.606696 
 Aldeanueva de Cameros por N-111,La Rioja,1111 m ,199 m ,"3,7 Km ","5,38 % ",34  , 42.153907 , -2.650774 , 42.145269 , -2.618308 
 Aldehuela por río Duratón,Segovia,1105 m ,253 m ,"5,6 Km ","4,52 % ",36  , 41.349366 , -3.886242 , 41.343051 , -3.823028 
 Alen por Labarrieta Behekoa,Bizkaia,539 m ,382 m ,"5,1 Km ","7,49 % ",84  , 43.25914 , -3.192499 , 43.272636 , -3.199098 
" Alfaguara, La por Chaparral",Granada,1438 m ,772 m ,"16,7 Km ","4,62 % ",147  , 37.258909 , -3.656988 , 37.263749 , -3.537898 
" Alforins, Port dels por Moixent",Valencia,650 m ,325 m ,22 Km ,"1,48 % ",59  , 38.869919 , -0.756941 , 38.804233 , -0.763421 
" Alforins, Port dels por Ontinyent",Valencia,650 m ,322 m ,"14,7 Km ","2,19 % ",49  , 38.827138 , -0.605922 , 38.804233 , -0.763421 
 Alforja por les Borges del Camp,Tarragona,641 m ,399 m ,"12,7 Km ","3,14 % ",56  , 41.172911 , 1.019824 , 41.221520 , 0.934191 
 Alhama Springs por Altea la Vella,Alicante,286 m ,256 m ,"3,9 Km ","6,42 % ",48  , 38.627734 , -0.04034 , 38.644461 , -0.030169 
 Alisas por Arredondo,Cantabria,674 m ,513 m ,"8,9 Km ","5,76 % ",89  , 43.273388 , -3.598421 , 43.301057 , -3.650064 
 Alisas por La Cavada,Cantabria,674 m ,614 m ,"12,6 Km ","4,87 % ",109  , 43.352311 ,  -3.706391 , 43.301057 , -3.650064 
 Alisedo por Traslaviña,Bizkaia,418 m ,207 m ,"2,27 Km ","9,12 % ",59  , 43.242331 , -3.227116 , 43.256561 , -3.233065 
 Alkiza por Anoeta,Gipuzkoa,342 m ,265 m ,"4,4 Km ","6,01 % ",53  , 43.161891 , -2.069487 , 43.172783 , -2.109055 
 Alkiza por Villabona,Gipuzkoa,342 m ,261 m ,4 Km ,"6,53 % ",48  , 43.190741 , -2.084653 , 43.172783 , -2.109055 
 Alkorta por Mendaro,Gipuzkoa,467 m ,457 m ,"4,1 Km ","11,1 % ",179  , 43.251277 , -2.382497 , 43.243663 , -2.356247 
 Almáchar por Almáchar,Málaga,601 m ,409 m ,"4,7 Km ","8,7 % ",121  , 36.811872 , -4.222791 , 36.78768 , -4.249098 
 Almansa por Fuente la Higuera,Valencia,649 m ,159 m ,3 Km ,"5,3 % ",33  , 38.821621 , -0.891309 , 38.823761 , -0.924139 
 Almeces (Repetidores) por Ojós,Murcia,1120 m ,991 m ,"14,96 Km ","6,62 % ",241  , 38.150408 , -1.343937 , 38.135512 , -1.418824 
 Almedíjar (Pto. Espadán) por Artana,Castellón,793 m ,703 m ,21 Km ,"3,35 % ",110  , 39.894609 , -0.198548 , 39.890262 , -0.359502 
 Almedíjar (Pto. Espadán) por Tales,Castellón,793 m ,553 m ,"15,2 Km ","3,64 % ",103  , 39.946562 , -0.310192 , 39.890213 , -0.359201 
 Almedíjar (Pto. Espadán) por Almedíjar,Castellón,793 m ,453 m ,9 Km ,5 % ,84  , 39.864722 , -0.425463 , 39.890262 , -0.359502 
" Almenara, La por Navas del Rey",Madrid,957 m ,245 m ,"5,26 Km ","4,66 % ",33  , 40.408268 , -4.257975 , 40.45116 , -4.262524 
" Almenara, La por Peñaflor (Sur)",Sevilla,302 m ,213 m ,"5,64 Km ","3,8 % ",31  ,  ,  ,  ,  
" Almenara, La por Colmenar del Arroyo",Madrid,957 m ,292 m ,11 Km ,"2,56 % ",44  , 40.423233 , -4.201155 , 40.451911 , -4.262438 
" Almenara, La por Robledo de Chavela",Madrid,957 m ,122 m ,"3,1 Km ","4,26 % ",20  , 40.464515 , -4.260807 , 40.45067 , -4.262781 
 Almudaina por Barranco de Esmenes,Alicante,570 m ,198 m ,"2,7 Km ","7,33 % ",42  , 38.774596 , -0.362206 , 38.759839 , -0.355682 
 Almudaina por Benialfaquí,Alicante,570 m ,145 m ,"3,3 Km ","4,39 % ",27  , 38.776101 , -0.338473 , 38.759839 , -0.355682 
 Almudaina por Barranco de Planes,Alicante,570 m ,195 m ,"2,7 Km ","7,22 % ",41  , 38.776503 , -0.354481 , 38.759806 , -0.355725 
 Alobras por Tormón,Teruel,1170 m ,120 m ,"2,7 Km ","4,44 % ",23  ,  ,  ,  ,  
 Alobras por Alobras,Teruel,1447 m ,330 m ,"5,1 Km ","6,47 % ",69  ,  ,  ,  ,  
 Alpuente por Titaguas,Valencia,975 m ,135 m ,2 Km ,"6,8 % ",26  , 39.874274 , -1.029668 , 39.875822 , -1.014218 
 Alqueries de Serra por Náquera,Valencia,380 m ,140 m ,"2,7 Km ","5,2 % ",46  , 39.6664 , -0.426621 , 39.68209 , -0.434647 
 Alt del Pi por Estivella-El Pla,Valencia,716 m ,568 m ,"13,4 Km ","4,24 % ",134  , 39.722834 , -0.366454 , 39.691172 , -0.399971 
 Alt del Pi por Torres Torres,Valencia,716 m ,498 m ,"10,6 Km ","4,68 % ",120  , 39.731152 , -0.397997 , 39.691172 , -0.399971 
 Alt del Pi por Náquera,Valencia,716 m ,543 m ,"13,2 Km ","4,11 % ",127  , 39.644726 , -0.430055 , 39.691172 , -0.399971 
" Altillo, El por Córdona (Sur)",Córdoba,556 m ,414 m ,"8,85 Km ","4,7 % ",58  ,  ,  ,  ,  
 Alto Aguilar de Codés por Viana,Navarra,831 m ,393 m ,"12,6 Km ","3,12 % ",54  , 42.512855 , -2.37515 , 42.601825 , -2.372553 
 Alto Campoo-Fuente del Chivo por Reinosa,Cantabria,1982 m ,1052 m ,"21,25 Km ","4,95 % ",191  , 43.020891 , -4.224823 , 43.043372 , -4.400153 
 Alto de Buenache por Buenache,Cuenca,1329 m ,82 m ,"1,26 Km ","6,51 % ",16  , 40.13232 , -1.99444 , 40.13295 , -2.00528 
 Alto de Buenache por Cuenca,Cuenca,1329 m ,408 m ,"15,77 Km ","2,59 % ",66  , 40.07653 , -2.12813 , 40.13295 , -2.00528 
 Alto de Buenache por Cruce Palomera,Cuenca,1329 m ,335 m ,11 Km ,"3,05 % ",55  , 40.08315 , -2.08431 , 40.13295 , -2.00528 
 Alto de Montnegre por Mequinenza,Zaragoza,408 m ,330 m ,"3,21 Km ","10,3 % ",113  , 41.37997 , 0.30610 , 41.39465 , 0.29742 
 Alto del Castillo por Puente de la Trinidad,Cuenca,1065 m ,153 m ,2 Km ,"7,65 % ",35  , 40.07712 , -2.13625 , 40.08328 , -2.12189 
 Alto del Rincón por Beamud,Cuenca,1458 m ,278 m ,"8,47 Km ","3,28 % ",47  , 40.22435 , -1.84400 , 40.17754 , -1.84776 
 Alto Rey por Aldeanueva de Atienza,Guadalajara,1765 m ,485 m ,"7,8 Km ","6,22 % ",115  , 41.166201 , -3.097029 , 41.163592 , -3.070292 
 Alto Rey por Villares de Jadraque,Guadalajara,1765 m ,795 m ,17 Km ,"4,68 % ",168  , 41.107919 , -3.001635 , 41.164288 , -3.073475 
 Alto Rey por Navas de Jadraque,Guadalajara,1765 m ,687 m ,"11,35 Km ","6,05 % ",145  , 41.102558 , -3.098491 , 41.163713 , -3.070627 
" Altos de Istán, Los por Marbella",Málaga,346 m ,333 m ,"14,6 Km ","2,3 % ",57  , 36.502121 , -4.931685 , 36.578839 , -4.944774 
 Altotero por Poza de la Sal (por Salas),Burgos,1080 m ,452 m ,"8,19 Km ","5,51 % ",78  , 42.669783 , -3.477945 , 42.669058 , -3.535388 
 Altube por Baranbio,Álava,631 m ,359 m ,"10,6 Km ","3,38 % ",63  , 43.048826 , -2.921089 , 42.976799 , -2.870505 
 Altzuste por Zeanuri,Bizkaia,364 m ,191 m ,"3,2 Km ","6,06 % ",32  , 43.098014 , -2.749522 , 43.09061 , -2.734137 
" Aluenda, Pueblo de por Río Perejiles",Zaragoza,797 m ,273 m ,10 Km ,4 % ,45  , 41.360944 , -1.609112 , 41.396937 , -1.520258 
" Amieva, Collada por Ceneya",Asturias,803 m ,588 m ,"6,7 Km ","8,77 % ",163  , 43.2357 , -5.091605 , 43.252478 , -5.079535 
" Amieva, Collada por Sames",Asturias,803 m ,659 m ,"7,8 Km ","8,44 % ",250  , 43.268988 , -5.137739 , 43.252478 , -5.079535 
" Amoladeras, Collado de las por La Paridera",Valencia,561 m ,109 m ,2 Km ,"5,45 % ",17  , 39.368346 , -0.919075 , 39.368511 , -0.898604 
 Amoroto por Oleta-Milloi,Bizkaia,249 m ,224 m ,"3,5 Km ","6,4 % ",49  , 43.339455 , -2.504202 , 43.322914 , -2.510312 
 Ancares por Tejedo,León,1670 m ,710 m ,"8,05 Km ","8,82 % ",251  , 42.841558 , -6.763852 , 42.868079 , -6.820714 
 Ancares por Pan do Zarco,Lugo,1670 m ,1110 m ,12 Km ,"9,25 % ",366  , 42.940883 , -6.87732 , 42.868079 , -6.820714 
 Ancares por Balouta,Lugo,1670 m ,1110 m ,20 Km ,"5,55 % ",313  , 42.940883 , -6.87732 , 42.868079 , -6.820714 
 Ancares por Piornedo,Lugo,1670 m ,1095 m ,"23,6 Km ","4,64 % ",293  , 42.894746 , -6.944525 , 42.868079 , -6.820714 
 Ancillo por Bº Helguero (Ramales),Cantabria,440 m ,342 m ,"3,34 Km ","1,26 % ",10  ,  ,  ,  ,  
 Andarraso por Inicio,León,1414 m ,399 m ,"4,1 Km ","9,7 % ",146  , 42.756498 , -5.960919 , 42.747312 , -6.007290 
 Andazarrate por Orio,Gipuzkoa,437 m ,432 m ,"16,89 Km ","2,55 % ",66  , 43.274747 , -2.131597 , 43.202571 , -2.134969 
 Andén Verde por Playa de la Aldea,Las Palmas,555 m ,540 m ,"8,8 Km ","6,14 % ",103  ,  ,  ,  ,  
 Andikona por Berriz y Besoita,Bizkaia,341 m ,67 m ,"1,39 Km ","4,78 % ",9  , 43.187636 , -2.57233 , 43.19159 , -2.584072 
 Andikona por N-634,Bizkaia,341 m ,221 m ,4 Km ,"5,53 % ",46  , 43.166226 , -2.603642 , 43.190222 , -2.586465 
 Andraka por Plentzia,Bizkaia,141 m ,130 m ,"3,3 Km ","3,93 % ",17  , 43.399591 , -2.943714 , 43.397818 , -2.908276 
 Andraka por Asteintza (Jatabe/Maruri),Bizkaia,141 m ,118 m ,"3,5 Km ","3,37 % ",15  , 43.383585 , -2.877324 , 43.397818 , -2.908276 
" Angeles, Cerro de los por Venta Gaeta",Valencia,907 m ,247 m ,"2,4 Km ","10,29 % ",91  , 39.308103 , -0.959072 , 39.309398 , -0.944996 
" Angels, Els por Madremanya",Gerona,485 m ,310 m ,6 Km ,"5,6 % ",66  ,  ,  ,  ,  
" Angels, Els por Girona",Gerona,485 m ,415 m ,11 Km ,"3,5 % ",59  ,  ,  ,  ,  
 Angliru por Santa Eulalia,Asturias,1570 m ,1403 m ,"17,7 Km ","7,93 % ",516  , 43.279861 , -5.881162 , 43.221596 , -5.941780 
 Angliru por La Vega (Riosa),Asturias,1570 m ,1265 m ,"12,6 Km ","10,04 % ",515  , 43.230633 , -5.882792 , 43.221596 , -5.941780 
" Angon, Collado de por Ceneya",Asturias,815 m ,600 m ,"7,2 Km ","8,33 % ",179  , 43.235761 , -5.091605 ,  ,  
" Angosturas, Las por Arroyo del Colmenar",Málaga,439 m ,265 m ,"5,49 Km ","4,8 % ",60  ,  ,  ,  ,  
" Ansó, Puerto de por Hecho",Huesca,1078 m ,266 m ,"4,6 Km ","5,76 % ",46  , 42.735801 , -0.751798 , 42.740403 , -0.7845 
 Ansovell por Arsèguel,Lleida,1335 m ,546 m ,"9,9 Km ","5,5 % ",110  , 42.362003 , 1.588044 , 42.325653 , 1.583761 
 Antenas de Cabeza del Hoyo por San Martín de Boniches,Cuenca,1398 m ,220 m ,"3,12 Km ","7,05 % ",47  , 39.89070 , -1.56784 , 39.90305 , -1.57879 
 Antenas de Cabeza del Hoyo por Villar del Humo,Cuenca,1398 m ,553 m ,"15,55 Km ","3,56 % ",102  , 39.84075 , -1.66367 , 39.90305 , -1.57879 
 Antezana por Manzanos,Álava,600 m ,125 m ,"3,5 Km ","3,6 % ",21  , 42.746528 , -2.861663 , 42.77372 , -2.877048 
 Antuñano por Balmaseda,Bizkaia,286 m ,128 m ,"3,3 Km ","3,87 % ",19  , 43.185601 , -3.202881 , 43.162784 , -3.19278 
 Apalaga por Igorre,Bizkaia,379 m ,294 m ,"4,25 Km ","6,92 % ",122  , 43.163745 , -2.777792 , 43.160685 , -2.804979 
